matched_city, latitude, longitude, n_tweets 
tampico, 41.627685, -89.783414, 1 
grayson, 33.89305, -83.958154, 1 
regina, 37.36897, -82.418065, 1 
springboro, 39.5565, -84.233019, 1 
west palm beach, 26.714388, -80.052689, 1 
bellevue, 47.610025, -122.187849, 1 
lincolnshire, 42.20164, -87.928544, 1 
providence, 41.823875, -71.411994, 2 
yuma, 32.68485, -114.624614, 1 
warren, 41.2362, -80.812804, 1 
west fargo, 46.872545, -96.884844, 1 
urbana, 40.11727, -88.204489, 1 
los altos, 37.383075, -122.114149, 1 
ewa beach, 21.313955, -158.008674, 1 
davie, 26.06567, -80.234949, 1 
lehigh acres, 26.606455, -81.645074, 1 
keizer, 44.99687, -123.019854, 1 
edison, 40.528045, -74.384629, 1 
vancouver, 45.632215, -122.671559, 2 
ruston, 32.530501, -92.639789, 1 
palm springs, 33.823215, -116.512114, 2 
geneva, 41.88701, -88.305225, 1 
bloomfield, 41.827617, -72.735803, 1 
southside, 33.92642, -86.023034, 1 
stevens point, 44.523905, -89.574789, 1 
woodbridge, 38.660595, -77.247875, 1 
hoover, 33.387081, -86.804339, 1 
fort myers, 26.640845, -81.868194, 1 
cape may, 38.935245, -74.921589, 1 
amarillo, 35.207255, -101.833894, 1 
binghamton, 42.098687, -75.911271, 1 
columbia, 38.929153, -92.313667, 2 
elgin, 42.039565, -88.283244, 1 
carrollton, 32.975555, -96.890229, 1 
culver city, 34.02161, -118.396209, 1 
stafford, 38.422885, -77.408174, 1 
anaheim, 33.83276, -117.915719, 1 
little rock, 34.748655, -92.274494, 2 
the woodlands, 30.15752, -95.455776, 1 
northwest, 34.31804, -78.180489, 1 
cranston, 41.77884, -71.435219, 1 
smithfield, 36.98134, -76.633929, 1 
gig harbor, 47.328, -122.580369, 1 
san jose, 37.338475, -121.885794, 1 
carlisle, 40.20119, -77.189169, 1 
boiling springs, 35.0472, -81.983534, 1 
johnston, 41.82389, -71.498794, 1 
carolina, 31.242498, -86.527729, 1 
stony brook, 40.919163, -73.129583, 1 
nova, 41.028975, -82.302379, 1 
olathe, 38.88353, -94.818874, 1 
calabasas, 34.152267, -118.693801, 1 
trenton, 40.227112, -74.653816, 1 
norfolk, 36.846825, -76.285069, 1 
cherry hill, 39.9275, -75.030549, 1 
corvallis, 44.56504, -123.263534, 1 
westlake village, 34.149368, -118.818867, 1 
east boston, 42.37846, -71.028814, 1 
saginaw, 43.419181, -83.946673, 1 
clermont, 28.551295, -81.766339, 1 
oceanside, 33.19715, -117.380584, 1 
pleasanton, 37.658034, -121.87722, 1 
riverdale, 36.43087, -119.851434, 1 
durango, 37.273675, -107.879304, 1 
capitol heights, 38.87508, -76.888901, 1 
wheeling, 40.063965, -80.721424, 1 
port st lucie, 27.274187, -80.363319, 1 
mooresville, 35.582525, -80.814689, 1 
lithonia, 33.711975, -84.105989, 1 
middleton, 34.0878, -82.765696, 1 
coconut creek, 26.259631, -80.18846, 1 
mt vernon, 40.912456, -73.838276, 1 
ashtabula, 41.889273, -80.786736, 1 
san luis obispo, 35.28552, -120.662519, 1 
